Case_ID,variant,variant_index,creator,Activity,Resource,Activity_1,Resource_1,org_group,End_Time,Start_Time
1-426969419,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Ewa-Org line A2,Accepted-In Progress,Ewa,Org line A2,2012-02-06T14:55:32.000,2012-02-06T14:55:32.000
1-426969419,Variant 2,2,Fluxicon Disco,Completed-Closed,Ewa-Org line A2,Completed-Closed,Ewa,Org line A2,2012-02-06T14:57:04.000,2012-02-06T14:57:04.000
1-427498853,Variant 58,58,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-06T13:34:32.000,2010-12-06T13:34:32.000
1-427498853,Variant 58,58,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-06T13:45:25.000,2010-12-06T13:45:25.000
1-427498853,Variant 58,58,Fluxicon Disco,Accepted-In Progress,Kannan-Org line G3,Accepted-In Progress,Kannan,Org line G3,2010-12-14T10:26:54.000,2010-12-14T10:26:54.000
1-427498853,Variant 58,58,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2010-12-14T10:26:59.000,2010-12-14T10:26:59.000
1-427498853,Variant 58,58,Fluxicon Disco,Accepted-Assigned,Ewa-Org line G3,Accepted-Assigned,Ewa,Org line G3,2012-01-30T11:47:32.000,2012-01-30T11:47:32.000
1-427498853,Variant 58,58,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-01-30T11:47:33.000,2012-01-30T11:47:33.000
1-427498853,Variant 58,58,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-01-30T11:50:23.000,2012-01-30T11:50:23.000
1-427614010,Variant 1,1,Fluxicon Disco,Accepted-In Progress,Nicolas-Org line C,Accepted-In Progress,Nicolas,Org line C,2010-12-06T18:10:24.000,2010-12-06T18:10:24.000
1-427614010,Variant 1,1,Fluxicon Disco,Completed-Closed,Nicolas-Org line C,Completed-Closed,Nicolas,Org line C,2012-03-19T13:29:13.000,2012-03-19T13:29:13.000
1-427955007,Variant 51,51,Fluxicon Disco,Accepted-In Progress,Roland-Org line G4,Accepted-In Progress,Roland,Org line G4,2010-12-07T13:24:36.000,2010-12-07T13:24:36.000
1-427955007,Variant 51,51,Fluxicon Disco,Accepted-Wait,Roland-Org line G4,Accepted-Wait,Roland,Org line G4,2011-01-18T09:59:26.000,2011-01-18T09:59:26.000
1-427955007,Variant 51,51,Fluxicon Disco,Accepted-In Progress,Roland-Org line G4,Accepted-In Progress,Roland,Org line G4,2011-01-26T06:48:18.000,2011-01-26T06:48:18.000
1-427955007,Variant 51,51,Fluxicon Disco,Accepted-Wait,Roland-Org line G4,Accepted-Wait,Roland,Org line G4,2011-04-28T07:46:03.000,2011-04-28T07:46:03.000
1-427955007,Variant 51,51,Fluxicon Disco,Completed-Closed,Roland-Org line G4,Completed-Closed,Roland,Org line G4,2012-01-26T09:47:59.000,2012-01-26T09:47:59.000
1-428252132,Variant 9,9,Fluxicon Disco,Accepted-In Progress,Anna-Org line C,Accepted-In Progress,Anna,Org line C,2010-12-08T09:23:06.000,2010-12-08T09:23:06.000
1-428252132,Variant 9,9,Fluxicon Disco,Queued-Awaiting Assignment,Anna-Org line C,Queued-Awaiting Assignment,Anna,Org line C,2010-12-08T09:58:04.000,2010-12-08T09:58:04.000
1-428252132,Variant 9,9,Fluxicon Disco,Accepted-In Progress,Anna-Org line C,Accepted-In Progress,Anna,Org line C,2011-09-08T10:18:39.000,2011-09-08T10:18:39.000
1-428252132,Variant 9,9,Fluxicon Disco,Accepted-Wait,Anna-Org line C,Accepted-Wait,Anna,Org line C,2011-09-08T10:19:27.000,2011-09-08T10:19:27.000
1-428252132,Variant 9,9,Fluxicon Disco,Completed-Closed,Anna-Org line C,Completed-Closed,Anna,Org line C,2012-02-01T13:02:04.000,2012-02-01T13:02:04.000
1-428421057,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-08T15:24:58.000,2010-12-08T15:24:58.000
1-428421057,Variant 2,2,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-09T07:44:34.000,2010-12-09T07:44:34.000
1-428421057,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Santhosh-Org line G3,Accepted-In Progress,Santhosh,Org line G3,2010-12-09T11:10:24.000,2010-12-09T11:10:24.000
1-428421057,Variant 2,2,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2010-12-09T11:12:29.000,2010-12-09T11:12:29.000
1-428421057,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-02-06T15:03:20.000,2012-02-06T15:03:20.000
1-428421057,Variant 2,2,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-02-06T15:06:11.000,2012-02-06T15:06:11.000
1-429498598,Variant 139,139,Fluxicon Disco,Accepted-In Progress,Gustav-Org line G4,Accepted-In Progress,Gustav,Org line G4,2010-12-13T07:41:40.000,2010-12-13T07:41:40.000
1-429498598,Variant 139,139,Fluxicon Disco,Accepted-In Progress,Gustav-Org line G4,Accepted-In Progress,Gustav,Org line G4,2011-08-26T12:58:26.000,2011-08-26T12:58:26.000
1-429498598,Variant 139,139,Fluxicon Disco,Accepted-Assigned,Marco-Org line G4,Accepted-Assigned,Marco,Org line G4,2012-01-30T12:41:27.000,2012-01-30T12:41:27.000
1-429498598,Variant 139,139,Fluxicon Disco,Accepted-Wait,Marco-Org line G4,Accepted-Wait,Marco,Org line G4,2012-02-01T07:57:23.000,2012-02-01T07:57:23.000
1-429498598,Variant 139,139,Fluxicon Disco,Completed-Closed,Marco-Org line G4,Completed-Closed,Marco,Org line G4,2012-02-01T09:47:23.000,2012-02-01T09:47:23.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-14T09:22:05.000,2010-12-14T09:22:05.000
1-429979181,Variant 140,140,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-14T09:30:06.000,2010-12-14T09:30:06.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-In Progress,Kannan-Org line G3,Accepted-In Progress,Kannan,Org line G3,2010-12-14T10:23:22.000,2010-12-14T10:23:22.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2010-12-14T10:23:27.000,2010-12-14T10:23:27.000
1-429979181,Variant 140,140,Fluxicon Disco,Queued-Awaiting Assignment,Hannes-Org line A2,Queued-Awaiting Assignment,Hannes,Org line A2,2011-04-07T11:49:36.000,2011-04-07T11:49:36.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-Assigned,Jayalakshmi-Org line A2,Accepted-Assigned,Jayalakshmi,Org line A2,2011-04-07T11:53:08.000,2011-04-07T11:53:08.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-Wait,Jayalakshmi-Org line A2,Accepted-Wait,Jayalakshmi,Org line A2,2011-04-07T12:17:37.000,2011-04-07T12:17:37.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-Assigned,Y-Org line A2,Accepted-Assigned,Y,Org line A2,2011-04-11T08:42:33.000,2011-04-11T08:42:33.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-In Progress,Y-Org line A2,Accepted-In Progress,Y,Org line A2,2011-04-11T08:52:14.000,2011-04-11T08:52:14.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-Wait,Y-Org line A2,Accepted-Wait,Y,Org line A2,2011-04-11T08:55:03.000,2011-04-11T08:55:03.000
1-429979181,Variant 140,140,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2011-04-11T10:54:44.000,2011-04-11T10:54:44.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line G3,Accepted-In Progress,Padmanabha,Org line G3,2011-04-11T11:25:36.000,2011-04-11T11:25:36.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2011-04-11T11:25:47.000,2011-04-11T11:25:47.000
1-429979181,Variant 140,140,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-02-06T15:06:34.000,2012-02-06T15:06:34.000
1-429979181,Variant 140,140,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-02-06T15:07:49.000,2012-02-06T15:07:49.000
1-430150814,Variant 141,141,Fluxicon Disco,Accepted-In Progress,Sandro-Org line A2,Accepted-In Progress,Sandro,Org line A2,2010-12-14T13:35:45.000,2010-12-14T13:35:45.000
1-430150814,Variant 141,141,Fluxicon Disco,Accepted-In Progress,Sandro-Org line A2,Accepted-In Progress,Sandro,Org line A2,2010-12-14T13:39:07.000,2010-12-14T13:39:07.000
1-430150814,Variant 141,141,Fluxicon Disco,Accepted-Assigned,Sandro-Org line A2,Accepted-Assigned,Sandro,Org line A2,2011-12-07T13:15:22.000,2011-12-07T13:15:22.000
1-430150814,Variant 141,141,Fluxicon Disco,Accepted-In Progress,Juliano-Org line A2,Accepted-In Progress,Juliano,Org line A2,2011-12-07T13:17:11.000,2011-12-07T13:17:11.000
1-430150814,Variant 141,141,Fluxicon Disco,Accepted-Wait,Juliano-Org line A2,Accepted-Wait,Juliano,Org line A2,2011-12-07T13:18:05.000,2011-12-07T13:18:05.000
1-430150814,Variant 141,141,Fluxicon Disco,Accepted-Assigned,Fabricio-Org line A2,Accepted-Assigned,Fabricio,Org line A2,2012-02-29T12:06:02.000,2012-02-29T12:06:02.000
1-430150814,Variant 141,141,Fluxicon Disco,Accepted-Wait,Fabricio-Org line A2,Accepted-Wait,Fabricio,Org line A2,2012-03-30T13:23:27.000,2012-03-30T13:23:27.000
1-430150814,Variant 141,141,Fluxicon Disco,Completed-Closed,Fabricio-Org line A2,Completed-Closed,Fabricio,Org line A2,2012-04-20T16:01:22.000,2012-04-20T16:01:22.000
1-430793848,Variant 1,1,Fluxicon Disco,Accepted-In Progress,Tord-Org line G4,Accepted-In Progress,Tord,Org line G4,2010-12-16T08:28:03.000,2010-12-16T08:28:03.000
1-430793848,Variant 1,1,Fluxicon Disco,Completed-Closed,Tord-Org line G4,Completed-Closed,Tord,Org line G4,2012-01-24T13:01:49.000,2012-01-24T13:01:49.000
1-430836105,Variant 3,3,Fluxicon Disco,Accepted-In Progress,Abhinav-Org line A2,Accepted-In Progress,Abhinav,Org line A2,2010-12-16T10:11:54.000,2010-12-16T10:11:54.000
1-430836105,Variant 3,3,Fluxicon Disco,Accepted-Wait,Abhinav-Org line A2,Accepted-Wait,Abhinav,Org line A2,2010-12-16T10:12:33.000,2010-12-16T10:12:33.000
1-430836105,Variant 3,3,Fluxicon Disco,Completed-Closed,Abhinav-Org line A2,Completed-Closed,Abhinav,Org line A2,2012-01-06T09:27:49.000,2012-01-06T09:27:49.000
1-430880486,Variant 3,3,Fluxicon Disco,Accepted-In Progress,Katarina-Org line G4,Accepted-In Progress,Katarina,Org line G4,2010-12-16T10:55:48.000,2010-12-16T10:55:48.000
1-430880486,Variant 3,3,Fluxicon Disco,Accepted-Wait,Katarina-Org line G4,Accepted-Wait,Katarina,Org line G4,2011-03-21T16:11:52.000,2011-03-21T16:11:52.000
1-430880486,Variant 3,3,Fluxicon Disco,Completed-Closed,Katarina-Org line G4,Completed-Closed,Katarina,Org line G4,2012-02-29T13:38:04.000,2012-02-29T13:38:04.000
1-431797119,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-20T12:58:13.000,2010-12-20T12:58:13.000
1-431797119,Variant 2,2,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-20T13:01:14.000,2010-12-20T13:01:14.000
1-431797119,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line G3,Accepted-In Progress,Padmanabha,Org line G3,2010-12-21T15:01:57.000,2010-12-21T15:01:57.000
1-431797119,Variant 2,2,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2010-12-21T15:02:11.000,2010-12-21T15:02:11.000
1-431797119,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-01-30T12:59:16.000,2012-01-30T12:59:16.000
1-431797119,Variant 2,2,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-01-30T13:07:31.000,2012-01-30T13:07:31.000
1-432419251,Variant 58,58,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-21T16:08:01.000,2010-12-21T16:08:01.000
1-432419251,Variant 58,58,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-21T16:22:42.000,2010-12-21T16:22:42.000
1-432419251,Variant 58,58,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line A2,Accepted-In Progress,Padmanabha,Org line A2,2010-12-23T10:20:20.000,2010-12-23T10:20:20.000
1-432419251,Variant 58,58,Fluxicon Disco,Accepted-Assigned,Padmanabha-Org line A2,Accepted-Assigned,Padmanabha,Org line A2,2010-12-23T10:22:21.000,2010-12-23T10:22:21.000
1-432419251,Variant 58,58,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line A2,Accepted-Assigned,Carolyn,Org line A2,2010-12-23T10:22:22.000,2010-12-23T10:22:22.000
1-432419251,Variant 58,58,Fluxicon Disco,Accepted-In Progress,Ewa-Org line A2,Accepted-In Progress,Ewa,Org line A2,2012-01-30T11:55:06.000,2012-01-30T11:55:06.000
1-432419251,Variant 58,58,Fluxicon Disco,Completed-Closed,Ewa-Org line A2,Completed-Closed,Ewa,Org line A2,2012-01-30T11:56:15.000,2012-01-30T11:56:15.000
1-432687815,Variant 6,6,Fluxicon Disco,Accepted-In Progress,Bengt-Org line C,Accepted-In Progress,Bengt,Org line C,2010-12-22T12:09:10.000,2010-12-22T12:09:10.000
1-432687815,Variant 6,6,Fluxicon Disco,Accepted-Assigned,Bengt-Org line C,Accepted-Assigned,Bengt,Org line C,2010-12-22T12:16:21.000,2010-12-22T12:16:21.000
1-432687815,Variant 6,6,Fluxicon Disco,Accepted-In Progress,Bengt-Org line C,Accepted-In Progress,Bengt,Org line C,2011-08-31T10:03:38.000,2011-08-31T10:03:38.000
1-432687815,Variant 6,6,Fluxicon Disco,Completed-Closed,Bengt-Org line C,Completed-Closed,Bengt,Org line C,2012-04-02T09:35:12.000,2012-04-02T09:35:12.000
1-433161361,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-23T12:22:24.000,2010-12-23T12:22:24.000
1-433161361,Variant 2,2,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-23T12:26:08.000,2010-12-23T12:26:08.000
1-433161361,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line G3,Accepted-In Progress,Padmanabha,Org line G3,2010-12-23T12:55:48.000,2010-12-23T12:55:48.000
1-433161361,Variant 2,2,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2010-12-23T12:57:02.000,2010-12-23T12:57:02.000
1-433161361,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-01-30T14:58:34.000,2012-01-30T14:58:34.000
1-433161361,Variant 2,2,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-01-30T14:58:36.000,2012-01-30T14:58:36.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-24T06:04:53.000,2010-12-24T06:04:53.000
1-433309965,Variant 142,142,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-24T06:09:51.000,2010-12-24T06:09:51.000
1-433309965,Variant 142,142,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-24T06:09:52.000,2010-12-24T06:09:52.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line G3,Accepted-In Progress,Padmanabha,Org line G3,2010-12-24T09:15:14.000,2010-12-24T09:15:14.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2010-12-24T09:15:22.000,2010-12-24T09:15:22.000
1-433309965,Variant 142,142,Fluxicon Disco,Queued-Awaiting Assignment,Hannes-Org line A2,Queued-Awaiting Assignment,Hannes,Org line A2,2011-04-07T11:38:51.000,2011-04-07T11:38:51.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-Assigned,Y-Org line A2,Accepted-Assigned,Y,Org line A2,2011-04-07T11:39:17.000,2011-04-07T11:39:17.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-In Progress,Y-Org line A2,Accepted-In Progress,Y,Org line A2,2011-04-07T12:07:06.000,2011-04-07T12:07:06.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-Wait,Y-Org line A2,Accepted-Wait,Y,Org line A2,2011-04-07T12:08:47.000,2011-04-07T12:08:47.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-In Progress,Y-Org line A2,Accepted-In Progress,Y,Org line A2,2011-04-07T16:03:00.000,2011-04-07T16:03:00.000
1-433309965,Variant 142,142,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2011-04-07T16:06:20.000,2011-04-07T16:06:20.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-In Progress,Santhosh-Org line G3,Accepted-In Progress,Santhosh,Org line G3,2011-04-08T14:26:24.000,2011-04-08T14:26:24.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2011-04-08T14:28:35.000,2011-04-08T14:28:35.000
1-433309965,Variant 142,142,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-02-02T21:15:47.000,2012-02-02T21:15:47.000
1-433309965,Variant 142,142,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-02-02T21:19:29.000,2012-02-02T21:19:29.000
1-433710534,Variant 143,143,Fluxicon Disco,Queued-Awaiting Assignment,Ing-Marie-Org line G4,Queued-Awaiting Assignment,Ing-Marie,Org line G4,2010-12-28T01:59:29.000,2010-12-28T01:59:29.000
1-433710534,Variant 143,143,Fluxicon Disco,Queued-Awaiting Assignment,Minhwan-Org line A2,Queued-Awaiting Assignment,Minhwan,Org line A2,2011-02-03T09:30:57.000,2011-02-03T09:30:57.000
1-433710534,Variant 143,143,Fluxicon Disco,Accepted-Assigned,Jinhyo-Org line A2,Accepted-Assigned,Jinhyo,Org line A2,2011-03-10T23:58:59.000,2011-03-10T23:58:59.000
1-433710534,Variant 143,143,Fluxicon Disco,Queued-Awaiting Assignment,Ing-Marie-Org line G4,Queued-Awaiting Assignment,Ing-Marie,Org line G4,2011-06-24T02:20:44.000,2011-06-24T02:20:44.000
1-433710534,Variant 143,143,Fluxicon Disco,Accepted-In Progress,Veeraraghavendra-Org line G4,Accepted-In Progress,Veeraraghavendra,Org line G4,2011-06-24T04:49:18.000,2011-06-24T04:49:18.000
1-433710534,Variant 143,143,Fluxicon Disco,Completed-Closed,Veeraraghavendra-Org line G4,Completed-Closed,Veeraraghavendra,Org line G4,2012-02-01T11:28:56.000,2012-02-01T11:28:56.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-In Progress,Ian-Org line A2,Accepted-In Progress,Ian,Org line A2,2010-12-28T13:28:04.000,2010-12-28T13:28:04.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-Wait,Ian-Org line A2,Accepted-Wait,Ian,Org line A2,2010-12-28T13:28:11.000,2010-12-28T13:28:11.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-Wait,Ian-Org line A2,Accepted-Wait,Ian,Org line A2,2011-01-03T07:41:42.000,2011-01-03T07:41:42.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-In Progress,Ian-Org line A2,Accepted-In Progress,Ian,Org line A2,2011-01-28T15:48:20.000,2011-01-28T15:48:20.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-Wait,Ian-Org line A2,Accepted-Wait,Ian,Org line A2,2011-03-31T09:34:29.000,2011-03-31T09:34:29.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-In Progress,Ian-Org line A2,Accepted-In Progress,Ian,Org line A2,2011-04-06T12:16:21.000,2011-04-06T12:16:21.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-Assigned,Ian-Org line A2,Accepted-Assigned,Ian,Org line A2,2011-06-29T15:04:50.000,2011-06-29T15:04:50.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-Assigned,Peter-Org line A2,Accepted-Assigned,Peter,Org line A2,2011-08-15T14:28:38.000,2011-08-15T14:28:38.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-In Progress,Peter-Org line A2,Accepted-In Progress,Peter,Org line A2,2011-09-09T11:59:20.000,2011-09-09T11:59:20.000
1-433910332,Variant 144,144,Fluxicon Disco,Accepted-In Progress,Andrew-Org line A2,Accepted-In Progress,Andrew,Org line A2,2012-05-17T11:45:05.000,2012-05-17T11:45:05.000
1-433910332,Variant 144,144,Fluxicon Disco,Completed-Closed,Andrew-Org line A2,Completed-Closed,Andrew,Org line A2,2012-05-17T11:45:59.000,2012-05-17T11:45:59.000
1-434419581,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2010-12-30T09:45:20.000,2010-12-30T09:45:20.000
1-434419581,Variant 2,2,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2010-12-30T09:56:11.000,2010-12-30T09:56:11.000
1-434419581,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line G3,Accepted-In Progress,Padmanabha,Org line G3,2010-12-30T10:03:45.000,2010-12-30T10:03:45.000
1-434419581,Variant 2,2,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2010-12-30T10:06:23.000,2010-12-30T10:06:23.000
1-434419581,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-02-06T15:07:59.000,2012-02-06T15:07:59.000
1-434419581,Variant 2,2,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-02-06T15:12:29.000,2012-02-06T15:12:29.000
1-434892089,Variant 145,145,Fluxicon Disco,Accepted-In Progress,Fredrik-Org line A2,Accepted-In Progress,Fredrik,Org line A2,2011-01-03T11:13:54.000,2011-01-03T11:13:54.000
1-434892089,Variant 145,145,Fluxicon Disco,Accepted-Wait,Fredrik-Org line A2,Accepted-Wait,Fredrik,Org line A2,2011-01-03T11:18:45.000,2011-01-03T11:18:45.000
1-434892089,Variant 145,145,Fluxicon Disco,Accepted-In Progress,Fredrik-Org line A2,Accepted-In Progress,Fredrik,Org line A2,2011-06-27T11:32:42.000,2011-06-27T11:32:42.000
1-434892089,Variant 145,145,Fluxicon Disco,Accepted-Wait,Fredrik-Org line A2,Accepted-Wait,Fredrik,Org line A2,2011-06-27T11:32:59.000,2011-06-27T11:32:59.000
1-434892089,Variant 145,145,Fluxicon Disco,Accepted-Wait,Fredrik-Org line A2,Accepted-Wait,Fredrik,Org line A2,2011-06-27T11:34:53.000,2011-06-27T11:34:53.000
1-434892089,Variant 145,145,Fluxicon Disco,Completed-Closed,Fredrik-Org line A2,Completed-Closed,Fredrik,Org line A2,2012-01-12T12:31:37.000,2012-01-12T12:31:37.000
1-435824991,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2011-01-05T21:06:32.000,2011-01-05T21:06:32.000
1-435824991,Variant 2,2,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2011-01-05T21:21:19.000,2011-01-05T21:21:19.000
1-435824991,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line G3,Accepted-In Progress,Padmanabha,Org line G3,2011-01-06T09:17:16.000,2011-01-06T09:17:16.000
1-435824991,Variant 2,2,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2011-01-06T09:20:30.000,2011-01-06T09:20:30.000
1-435824991,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-02-06T15:12:42.000,2012-02-06T15:12:42.000
1-435824991,Variant 2,2,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-02-06T15:17:25.000,2012-02-06T15:17:25.000
1-435825107,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Carolyn-Org line G3,Accepted-In Progress,Carolyn,Org line G3,2011-01-05T21:24:55.000,2011-01-05T21:24:55.000
1-435825107,Variant 2,2,Fluxicon Disco,Queued-Awaiting Assignment,Carolyn-Org line G3,Queued-Awaiting Assignment,Carolyn,Org line G3,2011-01-05T21:25:49.000,2011-01-05T21:25:49.000
1-435825107,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Padmanabha-Org line G3,Accepted-In Progress,Padmanabha,Org line G3,2011-01-06T09:24:26.000,2011-01-06T09:24:26.000
1-435825107,Variant 2,2,Fluxicon Disco,Accepted-Assigned,Carolyn-Org line G3,Accepted-Assigned,Carolyn,Org line G3,2011-01-06T09:24:39.000,2011-01-06T09:24:39.000
1-435825107,Variant 2,2,Fluxicon Disco,Accepted-In Progress,Ewa-Org line G3,Accepted-In Progress,Ewa,Org line G3,2012-02-06T15:19:29.000,2012-02-06T15:19:29.000
1-435825107,Variant 2,2,Fluxicon Disco,Completed-Closed,Ewa-Org line G3,Completed-Closed,Ewa,Org line G3,2012-02-06T15:22:02.000,2012-02-06T15:22:02.000
1-437141508,Variant 1,1,Fluxicon Disco,Accepted-In Progress,Fredrik-Org line C,Accepted-In Progress,Fredrik,Org line C,2011-01-10T18:01:33.000,2011-01-10T18:01:33.000
1-437141508,Variant 1,1,Fluxicon Disco,Completed-Closed,Fredrik-Org line C,Completed-Closed,Fredrik,Org line C,2012-05-22T17:06:56.000,2012-05-22T17:06:56.000
