Case_ID,Start_Time,End_Time,Activity,Resource
request for payment 78579,2017-11-21T14:28:31.000,2017-11-21T14:28:31.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 78579,2017-11-22T07:51:03.000,2017-11-22T07:51:03.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78579,2017-11-23T10:43:41.000,2017-11-23T10:43:41.000,Request For Payment REJECTED by MISSING,MISSING
request for payment 78254,2017-11-17T09:42:22.000,2017-11-17T09:42:22.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78254,2017-11-17T09:42:36.000,2017-11-17T09:42:36.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 78254,2017-11-17T09:44:19.000,2017-11-17T09:44:19.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78254,2017-11-17T10:05:28.000,2017-11-17T10:05:28.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 78254,2017-11-22T11:36:34.000,2017-11-22T11:36:34.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78254,2017-11-22T11:37:38.000,2017-11-22T11:37:38.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78254,2017-11-27T14:29:57.000,2017-11-27T14:29:57.000,Request Payment,UNDEFINED
request for payment 78254,2017-11-30T16:31:04.000,2017-11-30T16:31:04.000,Payment Handled,UNDEFINED
request for payment 84479,2017-11-20T09:29:03.000,2017-11-20T09:29:03.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84479,2017-11-20T09:41:23.000,2017-11-20T09:41:23.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84479,2017-12-15T10:33:12.000,2017-12-15T10:33:12.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84479,2017-12-15T10:40:11.000,2017-12-15T10:40:11.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84479,2017-12-21T13:00:40.000,2017-12-21T13:00:40.000,Request Payment,UNDEFINED
request for payment 84479,2018-01-04T16:31:15.000,2018-01-04T16:31:15.000,Payment Handled,UNDEFINED
request for payment 84481,2017-11-20T09:29:03.000,2017-11-20T09:29:03.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84481,2017-11-20T09:41:23.000,2017-11-20T09:41:23.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84481,2017-11-20T09:55:31.000,2017-11-20T09:55:31.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84481,2017-11-20T09:57:51.000,2017-11-20T09:57:51.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84481,2017-11-21T10:52:30.000,2017-11-21T10:52:30.000,Request Payment,UNDEFINED
request for payment 84481,2017-11-23T16:30:59.000,2017-11-23T16:30:59.000,Payment Handled,UNDEFINED
request for payment 84705,2017-11-20T12:45:49.000,2017-11-20T12:45:49.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84705,2017-11-20T12:45:51.000,2017-11-20T12:45:51.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84705,2017-11-23T09:49:36.000,2017-11-23T09:49:36.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84705,2017-11-23T09:49:45.000,2017-11-23T09:49:45.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84705,2017-11-27T11:16:28.000,2017-11-27T11:16:28.000,Request Payment,UNDEFINED
request for payment 84705,2017-11-30T16:31:04.000,2017-11-30T16:31:04.000,Payment Handled,UNDEFINED
request for payment 84709,2017-11-20T12:45:49.000,2017-11-20T12:45:49.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84709,2017-11-20T12:45:51.000,2017-11-20T12:45:51.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84709,2017-11-23T09:50:20.000,2017-11-23T09:50:20.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84709,2017-11-23T09:50:23.000,2017-11-23T09:50:23.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84709,2017-11-27T11:15:48.000,2017-11-27T11:15:48.000,Request Payment,UNDEFINED
request for payment 84709,2017-11-30T16:31:04.000,2017-11-30T16:31:04.000,Payment Handled,UNDEFINED
request for payment 84707,2017-11-20T12:45:49.000,2017-11-20T12:45:49.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84707,2017-11-20T12:45:51.000,2017-11-20T12:45:51.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84707,2017-12-08T14:30:53.000,2017-12-08T14:30:53.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84707,2017-12-08T14:32:14.000,2017-12-08T14:32:14.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84707,2017-12-11T08:49:08.000,2017-12-11T08:49:08.000,Request Payment,UNDEFINED
request for payment 84707,2017-12-14T16:31:10.000,2017-12-14T16:31:10.000,Payment Handled,UNDEFINED
request for payment 78236,2017-11-21T15:00:38.000,2017-11-21T15:00:38.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78236,2017-11-21T15:01:02.000,2017-11-21T15:01:02.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78236,2017-11-23T15:15:46.000,2017-11-23T15:15:46.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78236,2017-11-23T15:16:08.000,2017-11-23T15:16:08.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78236,2017-11-27T11:14:14.000,2017-11-27T11:14:14.000,Request Payment,UNDEFINED
request for payment 78236,2017-11-30T16:31:04.000,2017-11-30T16:31:04.000,Payment Handled,UNDEFINED
request for payment 80736,2017-11-24T06:55:16.000,2017-11-24T06:55:16.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80736,2017-11-24T06:55:19.000,2017-11-24T06:55:19.000,Permit APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80736,2017-11-24T07:44:56.000,2017-11-24T07:44:56.000,Permit FINAL_APPROVED by DIRECTOR,DIRECTOR
request for payment 80736,2017-12-01T06:25:15.000,2017-12-01T06:25:15.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80736,2017-12-01T06:27:08.000,2017-12-01T06:27:08.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80736,2017-12-04T08:13:08.000,2017-12-04T08:13:08.000,Request Payment,UNDEFINED
request for payment 80736,2017-12-07T16:31:19.000,2017-12-07T16:31:19.000,Payment Handled,UNDEFINED
request for payment 80738,2017-11-24T06:55:16.000,2017-11-24T06:55:16.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80738,2017-11-24T06:55:19.000,2017-11-24T06:55:19.000,Permit APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80738,2017-11-24T07:44:56.000,2017-11-24T07:44:56.000,Permit FINAL_APPROVED by DIRECTOR,DIRECTOR
request for payment 80738,2018-01-30T14:15:19.000,2018-01-30T14:15:19.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80738,2018-01-30T14:15:39.000,2018-01-30T14:15:39.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 80738,2018-01-31T14:41:58.000,2018-01-31T14:41:58.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 80738,2018-02-01T15:13:42.000,2018-02-01T15:13:42.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80738,2018-02-01T15:29:07.000,2018-02-01T15:29:07.000,Request Payment,UNDEFINED
request for payment 80738,2018-02-05T16:31:03.000,2018-02-05T16:31:03.000,Payment Handled,UNDEFINED
request for payment 185412,2017-11-27T10:32:25.000,2017-11-27T10:32:25.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 185412,2017-11-27T10:32:40.000,2017-11-27T10:32:40.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 185412,2017-11-27T14:22:49.000,2017-11-27T14:22:49.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 185412,2017-11-28T11:27:34.000,2017-11-28T11:27:34.000,Request Payment,UNDEFINED
request for payment 185412,2017-11-30T16:31:04.000,2017-11-30T16:31:04.000,Payment Handled,UNDEFINED
request for payment 78284,2017-11-27T11:26:58.000,2017-11-27T11:26:58.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78284,2017-11-27T11:27:00.000,2017-11-27T11:27:00.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78284,2017-11-28T13:10:41.000,2017-11-28T13:10:41.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78284,2017-11-28T13:11:58.000,2017-11-28T13:11:58.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78284,2017-11-30T13:34:07.000,2017-11-30T13:34:07.000,Request Payment,UNDEFINED
request for payment 78284,2017-12-04T16:31:18.000,2017-12-04T16:31:18.000,Payment Handled,UNDEFINED
request for payment 78838,2017-11-27T11:47:48.000,2017-11-27T11:47:48.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78838,2017-11-27T11:47:52.000,2017-11-27T11:47:52.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78838,2017-12-05T13:12:04.000,2017-12-05T13:12:04.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78838,2017-12-05T13:33:26.000,2017-12-05T13:33:26.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78838,2017-12-05T13:46:05.000,2017-12-05T13:46:05.000,Request Payment,UNDEFINED
request for payment 78838,2017-12-07T16:31:19.000,2017-12-07T16:31:19.000,Payment Handled,UNDEFINED
request for payment 80420,2017-11-30T10:01:33.000,2017-11-30T10:01:33.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80420,2017-11-30T10:01:36.000,2017-11-30T10:01:36.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 80420,2017-12-01T07:40:26.000,2017-12-01T07:40:26.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80420,2018-03-02T12:47:39.000,2018-03-02T12:47:39.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80420,2018-03-02T12:47:47.000,2018-03-02T12:47:47.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 80420,2018-03-05T12:57:32.000,2018-03-05T12:57:32.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80420,2018-03-13T07:08:34.000,2018-03-13T07:08:34.000,Request Payment,UNDEFINED
request for payment 80420,2018-03-15T16:31:16.000,2018-03-15T16:31:16.000,Payment Handled,UNDEFINED
request for payment 80418,2017-11-30T10:01:33.000,2017-11-30T10:01:33.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80418,2017-11-30T10:01:36.000,2017-11-30T10:01:36.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 80418,2017-12-01T07:40:26.000,2017-12-01T07:40:26.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80418,2018-03-11T18:29:19.000,2018-03-11T18:29:19.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80418,2018-03-11T18:30:31.000,2018-03-11T18:30:31.000,Request For Payment REJECTED by ADMINISTRATION,ADMINISTRATION
request for payment 80418,2018-03-12T07:28:48.000,2018-03-12T07:28:48.000,Request For Payment REJECTED by EMPLOYEE,EMPLOYEE
request for payment 80418,2018-03-19T07:33:19.000,2018-03-19T07:33:19.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 80418,2018-03-19T07:33:22.000,2018-03-19T07:33:22.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 80418,2018-03-19T07:41:47.000,2018-03-19T07:41:47.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 80418,2018-03-22T07:16:59.000,2018-03-22T07:16:59.000,Request Payment,UNDEFINED
request for payment 80418,2018-03-26T16:31:14.000,2018-03-26T16:31:14.000,Payment Handled,UNDEFINED
request for payment 79914,2017-11-30T23:07:01.000,2017-11-30T23:07:01.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 79914,2017-11-30T23:07:07.000,2017-11-30T23:07:07.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 79914,2017-12-05T09:24:47.000,2017-12-05T09:24:47.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 79914,2017-12-13T21:39:32.000,2017-12-13T21:39:32.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 79914,2017-12-13T21:39:47.000,2017-12-13T21:39:47.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 79914,2017-12-14T09:31:33.000,2017-12-14T09:31:33.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 79914,2017-12-18T14:44:04.000,2017-12-18T14:44:04.000,Request Payment,UNDEFINED
request for payment 79914,2017-12-21T16:31:41.000,2017-12-21T16:31:41.000,Payment Handled,UNDEFINED
request for payment 84354,2017-12-02T15:25:12.000,2017-12-02T15:25:12.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84354,2017-12-02T15:25:15.000,2017-12-02T15:25:15.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84354,2017-12-02T16:42:09.000,2017-12-02T16:42:09.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84354,2017-12-02T16:42:13.000,2017-12-02T16:42:13.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84354,2017-12-08T07:06:42.000,2017-12-08T07:06:42.000,Request Payment,UNDEFINED
request for payment 84354,2017-12-11T16:31:26.000,2017-12-11T16:31:26.000,Payment Handled,UNDEFINED
request for payment 84352,2017-12-02T15:25:12.000,2017-12-02T15:25:12.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84352,2017-12-02T15:25:15.000,2017-12-02T15:25:15.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84352,2018-01-06T15:22:14.000,2018-01-06T15:22:14.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84352,2018-01-06T15:22:19.000,2018-01-06T15:22:19.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 84352,2018-01-11T07:56:27.000,2018-01-11T07:56:27.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 84352,2018-01-16T08:20:15.000,2018-01-16T08:20:15.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84352,2018-01-19T08:27:45.000,2018-01-19T08:27:45.000,Request Payment,UNDEFINED
request for payment 84352,2018-01-22T16:31:18.000,2018-01-22T16:31:18.000,Payment Handled,UNDEFINED
request for payment 84350,2017-12-02T15:25:12.000,2017-12-02T15:25:12.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84350,2017-12-02T15:25:15.000,2017-12-02T15:25:15.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84350,2018-01-06T15:32:36.000,2018-01-06T15:32:36.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84350,2018-01-06T15:32:40.000,2018-01-06T15:32:40.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 84350,2018-01-11T07:55:28.000,2018-01-11T07:55:28.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 84350,2018-01-16T08:20:59.000,2018-01-16T08:20:59.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84350,2018-01-19T08:27:33.000,2018-01-19T08:27:33.000,Request Payment,UNDEFINED
request for payment 84350,2018-01-22T16:31:18.000,2018-01-22T16:31:18.000,Payment Handled,UNDEFINED
request for payment 84348,2017-12-02T15:25:12.000,2017-12-02T15:25:12.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84348,2017-12-02T15:25:15.000,2017-12-02T15:25:15.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84348,2018-01-18T16:48:30.000,2018-01-18T16:48:30.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84348,2018-01-18T16:48:37.000,2018-01-18T16:48:37.000,Request For Payment REJECTED by ADMINISTRATION,ADMINISTRATION
request for payment 84348,2018-01-19T07:31:41.000,2018-01-19T07:31:41.000,Request For Payment REJECTED by EMPLOYEE,EMPLOYEE
request for payment 84348,2018-01-19T14:33:11.000,2018-01-19T14:33:11.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84348,2018-01-19T14:33:16.000,2018-01-19T14:33:16.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 84348,2018-01-23T10:30:27.000,2018-01-23T10:30:27.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 84348,2018-01-23T10:48:34.000,2018-01-23T10:48:34.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84348,2018-01-25T07:23:12.000,2018-01-25T07:23:12.000,Request Payment,UNDEFINED
request for payment 84348,2018-01-29T16:31:11.000,2018-01-29T16:31:11.000,Payment Handled,UNDEFINED
request for payment 84385,2017-12-02T16:22:21.000,2017-12-02T16:22:21.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84385,2017-12-02T16:22:24.000,2017-12-02T16:22:24.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84385,2018-01-19T18:57:51.000,2018-01-19T18:57:51.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84385,2018-01-19T18:57:56.000,2018-01-19T18:57:56.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 84385,2018-01-23T10:34:34.000,2018-01-23T10:34:34.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 84385,2018-01-23T10:36:38.000,2018-01-23T10:36:38.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84385,2018-01-25T07:24:27.000,2018-01-25T07:24:27.000,Request Payment,UNDEFINED
request for payment 84385,2018-01-29T16:31:11.000,2018-01-29T16:31:11.000,Payment Handled,UNDEFINED
request for payment 84383,2017-12-02T16:22:21.000,2017-12-02T16:22:21.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84383,2017-12-02T16:22:24.000,2017-12-02T16:22:24.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84383,2018-01-19T19:48:50.000,2018-01-19T19:48:50.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84383,2018-01-19T19:48:54.000,2018-01-19T19:48:54.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 84383,2018-01-23T10:34:59.000,2018-01-23T10:34:59.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 84383,2018-01-23T10:36:22.000,2018-01-23T10:36:22.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84383,2018-01-25T07:29:24.000,2018-01-25T07:29:24.000,Request Payment,UNDEFINED
request for payment 84383,2018-01-29T16:31:11.000,2018-01-29T16:31:11.000,Payment Handled,UNDEFINED
request for payment 79930,2017-12-06T13:50:38.000,2017-12-06T13:50:38.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 79930,2017-12-06T13:50:41.000,2017-12-06T13:50:41.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 79930,2017-12-06T13:52:20.000,2017-12-06T13:52:20.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 79930,2017-12-18T09:28:06.000,2017-12-18T09:28:06.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 79930,2017-12-18T10:32:33.000,2017-12-18T10:32:33.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 79930,2017-12-18T13:21:27.000,2017-12-18T13:21:27.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 79930,2017-12-19T12:45:07.000,2017-12-19T12:45:07.000,Request Payment,UNDEFINED
request for payment 79930,2017-12-21T16:31:41.000,2017-12-21T16:31:41.000,Payment Handled,UNDEFINED
request for payment 78998,2017-12-08T09:51:41.000,2017-12-08T09:51:41.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78998,2017-12-08T10:06:22.000,2017-12-08T10:06:22.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78998,2017-12-08T10:09:41.000,2017-12-08T10:09:41.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78998,2017-12-08T10:12:12.000,2017-12-08T10:12:12.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78998,2017-12-08T12:43:22.000,2017-12-08T12:43:22.000,Request Payment,UNDEFINED
request for payment 78998,2017-12-11T16:31:26.000,2017-12-11T16:31:26.000,Payment Handled,UNDEFINED
request for payment 85491,2017-12-08T11:07:07.000,2017-12-08T11:07:07.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 85491,2017-12-08T11:08:43.000,2017-12-08T11:08:43.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 85491,2017-12-08T11:49:05.000,2017-12-08T11:49:05.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 85491,2017-12-11T09:39:41.000,2017-12-11T09:39:41.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 85491,2017-12-11T09:39:51.000,2017-12-11T09:39:51.000,Request For Payment APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 85491,2017-12-11T11:06:53.000,2017-12-11T11:06:53.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 85491,2017-12-11T11:52:37.000,2017-12-11T11:52:37.000,Request Payment,UNDEFINED
request for payment 85491,2017-12-14T16:31:10.000,2017-12-14T16:31:10.000,Payment Handled,UNDEFINED
request for payment 79255,2017-12-11T11:01:35.000,2017-12-11T11:01:35.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 79255,2017-12-11T11:01:45.000,2017-12-11T11:01:45.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 79255,2017-12-11T12:33:37.000,2017-12-11T12:33:37.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 79255,2018-01-16T10:45:33.000,2018-01-16T10:45:33.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 79255,2018-01-16T10:45:48.000,2018-01-16T10:45:48.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 79255,2018-01-16T11:56:41.000,2018-01-16T11:56:41.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 79255,2018-01-23T05:51:35.000,2018-01-23T05:51:35.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 79255,2018-01-23T05:51:36.000,2018-01-23T05:51:36.000,Request Payment,UNDEFINED
request for payment 79255,2018-01-25T16:31:09.000,2018-01-25T16:31:09.000,Payment Handled,UNDEFINED
request for payment 84507,2017-12-11T13:16:05.000,2017-12-11T13:16:05.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84507,2017-12-11T13:16:09.000,2017-12-11T13:16:09.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 84507,2017-12-12T08:49:56.000,2017-12-12T08:49:56.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84507,2018-01-16T11:08:23.000,2018-01-16T11:08:23.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 84507,2018-01-16T11:18:03.000,2018-01-16T11:18:03.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 84507,2018-01-16T11:51:28.000,2018-01-16T11:51:28.000,Request For Payment APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 84507,2018-01-23T05:51:31.000,2018-01-23T05:51:31.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 84507,2018-01-23T05:51:32.000,2018-01-23T05:51:32.000,Request Payment,UNDEFINED
request for payment 84507,2018-01-25T16:31:09.000,2018-01-25T16:31:09.000,Payment Handled,UNDEFINED
request for payment 78305,2017-12-13T11:23:14.000,2017-12-13T11:23:14.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78305,2017-12-13T11:23:18.000,2017-12-13T11:23:18.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78305,2017-12-13T11:24:00.000,2017-12-13T11:24:00.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 78305,2017-12-13T11:26:09.000,2017-12-13T11:26:09.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 78305,2017-12-14T13:51:39.000,2017-12-14T13:51:39.000,Request Payment,UNDEFINED
request for payment 78305,2017-12-18T16:31:22.000,2017-12-18T16:31:22.000,Payment Handled,UNDEFINED
request for payment 85507,2017-12-19T08:21:58.000,2017-12-19T08:21:58.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 85507,2017-12-19T08:22:00.000,2017-12-19T08:22:00.000,Permit APPROVED by PRE_APPROVER,PRE_APPROVER
request for payment 85507,2017-12-20T17:07:55.000,2017-12-20T17:07:55.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 85507,2018-02-08T09:41:09.000,2018-02-08T09:41:09.000,Request For Payment SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 85507,2018-02-08T09:41:25.000,2018-02-08T09:41:25.000,Request For Payment APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 85507,2018-02-09T09:17:42.000,2018-02-09T09:17:42.000,Request For Payment FINAL_APPROVED by SUPERVISOR,SUPERVISOR
request for payment 85507,2018-02-09T10:20:31.000,2018-02-09T10:20:31.000,Request Payment,UNDEFINED
request for payment 85507,2018-02-12T16:31:22.000,2018-02-12T16:31:22.000,Payment Handled,UNDEFINED
request for payment 16289,2018-01-06T15:44:13.000,2018-01-06T15:44:13.000,Permit SUBMITTED by EMPLOYEE,EMPLOYEE
request for payment 16289,2018-01-06T15:44:16.000,2018-01-06T15:44:16.000,Permit APPROVED by ADMINISTRATION,ADMINISTRATION
request for payment 16289,2018-01-08T10:51:41.000,2018-01-08T10:51:41.000,Permit APPROVED by BUDGET OWNER,BUDGET OWNER
request for payment 16289,2018-01-15T04:15:19.000,2018-01-15T04:15:19.000,Permit FINAL_APPROVED by SUPERVISOR,SUPERVISOR
